-4.0,4.0
[-3.89339812],[4.16899618]
[-3.89287199],[4.16984547]
[-3.89234593],[4.1706948]
[-3.89181993],[4.17154417]
[-3.89129401],[4.17239359]
[-3.89076815],[4.17324305]
[-3.89024236],[4.17409255]
[-3.88971665],[4.17494209]
[-3.889191],[4.17579167]
[-3.88866542],[4.1766413]
[-3.8881399],[4.17749097]
[-3.88761446],[4.17834068]
[-3.88708908],[4.17919044]
[-3.88656378],[4.18004023]
[-3.88603854],[4.18089007]
[-3.88551337],[4.18173995]
[-3.88498827],[4.18258988]
[-3.88446324],[4.18343984]
[-3.88393828],[4.18428985]
[-3.88341339],[4.1851399]
[-3.88288856],[4.18599]
[-3.88236381],[4.18684013]
[-3.88183912],[4.18769031]
[-3.8813145],[4.18854053]
[-3.88078995],[4.1893908]
[-3.88026547],[4.1902411]
[-3.87974106],[4.19109145]
[-3.87921671],[4.19194184]
[-3.87869244],[4.19279227]
[-3.87816823],[4.19364274]
[-3.8776441],[4.19449326]
[-3.87712003],[4.19534382]
[-3.87659603],[4.19619442]
[-3.8760721],[4.19704507]
[-3.87554824],[4.19789575]
[-3.87502445],[4.19874648]
[-3.87450072],[4.19959725]
[-3.87397707],[4.20044806]
[-3.87345348],[4.20129892]
[-3.87292996],[4.20214982]
[-3.87240652],[4.20300076]
[-3.87188314],[4.20385174]
[-3.87135983],[4.20470276]
[-3.87083658],[4.20555383]
[-3.87031341],[4.20640494]
[-3.86979031],[4.20725609]
[-3.86926727],[4.20810728]
[-3.86874431],[4.20895852]
[-3.86822141],[4.20980979]
[-3.86769858],[4.21066111]
[-3.86717582],[4.21151248]
[-3.86665313],[4.21236388]
[-3.86613051],[4.21321533]
[-3.86560796],[4.21406682]
[-3.86508547],[4.21491835]
[-3.86456306],[4.21576992]
[-3.86404071],[4.21662153]
[-3.86351843],[4.21747319]
[-3.86299622],[4.21832489]
[-3.86247409],[4.21917663]
[-3.86195202],[4.22002841]
[-3.86143001],[4.22088024]
[-3.86090808],[4.22173211]
[-3.86038622],[4.22258402]
[-3.85986442],[4.22343597]
[-3.8593427],[4.22428796]
[-3.85882104],[4.22514]
[-3.85829945],[4.22599208]
[-3.85777794],[4.2268442]
[-3.85725649],[4.22769636]
[-3.85673511],[4.22854857]
[-3.85621379],[4.22940081]
[-3.85569255],[4.2302531]
[-3.85517138],[4.23110543]
[-3.85465027],[4.23195781]
[-3.85412924],[4.23281022]
[-3.85360827],[4.23366268]
[-3.85308737],[4.23451518]
[-3.85256654],[4.23536772]
[-3.85204578],[4.2362203]
[-3.85152509],[4.23707293]
[-3.85100447],[4.23792559]
[-3.85048392],[4.2387783]
[-3.84996344],[4.23963105]
[-3.84944302],[4.24048385]
[-3.84892268],[4.24133668]
[-3.8484024],[4.24218956]
[-3.84788219],[4.24304248]
[-3.84736205],[4.24389544]
[-3.84684199],[4.24474844]
[-3.84632199],[4.24560149]
[-3.84580205],[4.24645457]
[-3.84528219],[4.2473077]
[-3.8447624],[4.24816087]
[-3.84424268],[4.24901409]
[-3.84372302],[4.24986734]
[-3.84320344],[4.25072064]
[-3.84268392],[4.25157398]
[-3.84216447],[4.25242736]
[-3.84164509],[4.25328078]
[-3.84112578],[4.25413424]
[-3.84060654],[4.25498775]
[-3.84008737],[4.2558413]
[-3.83956827],[4.25669489]
[-3.83904924],[4.25754852]
[-3.83853028],[4.25840219]
[-3.83801138],[4.25925591]
[-3.83749256],[4.26010966]
[-3.8369738],[4.26096346]
[-3.83645511],[4.26181731]
[-3.83593649],[4.26267119]
[-3.83541795],[4.26352511]
[-3.83489947],[4.26437908]
[-3.83438106],[4.26523309]
[-3.83386271],[4.26608714]
[-3.83334444],[4.26694123]
[-3.83282624],[4.26779536]
[-3.83230811],[4.26864954]
[-3.83179004],[4.26950376]
[-3.83127205],[4.27035802]
[-3.83075412],[4.27121232]
[-3.83023626],[4.27206666]
[-3.82971848],[4.27292105]
[-3.82920076],[4.27377547]
[-3.82868311],[4.27462994]
[-3.82816553],[4.27548445]
[-3.82764802],[4.276339]
[-3.82713058],[4.2771936]
[-3.8266132],[4.27804823]
[-3.8260959],[4.27890291]
[-3.82557867],[4.27975763]
[-3.8250615],[4.28061239]
