[0.22874232 0.31964403 0.33839935]
[0.27664791 0.31463323 0.38688211]
[0.26247513 0.27984976 0.39261611]
[0.28179055 0.34515402 0.39148085]
[0.20952447 0.26960151 0.36259004]
[0.39441005 0.39787993 0.42743467]
[0.39705258 0.41111037 0.44822419]
[0.38376159 0.39138249 0.40829104]
[0.28060675 0.31012341 0.3634546 ]
[0.41155764 0.41184499 0.4125958 ]
[0.44459739 0.45368263 0.49344388]
[0.41267222 0.45156876 0.49930029]
[0.45290361 0.47291752 0.50430434]
[0.4293331  0.47316361 0.51072512]
[0.50340075 0.52005669 0.5519389 ]
[0.42457509 0.44672665 0.48543227]
[0.41705307 0.43910904 0.55132999]
[0.42057614 0.47268593 0.56483953]
[0.33595763 0.45224425 0.46482111]
[0.40373296 0.43131157 0.5645874 ]
[0.44720518 0.49567524 0.63048768]
[0.4631652  0.48326179 0.6318705 ]
[0.49501751 0.52373782 0.59609034]
[0.47609056 0.4851595  0.5446884 ]
[0.45741906 0.53924711 0.59449156]
[0.35120465 0.47122014 0.53800613]
[0.48724688 0.5096948  0.53397018]
[0.48679993 0.49451689 0.56211884]
[0.45725316 0.46922838 0.51492197]
[0.4495815  0.46449651 0.60663485]
[0.39411845 0.46588045 0.49574461]
[0.49007187 0.49796135 0.50157305]
[0.45169114 0.46609405 0.48607635]
[0.48502351 0.50637983 0.51802683]
[0.48215704 0.48482711 0.51030027]
[0.48744908 0.49079889 0.53230634]
[0.50069705 0.50134588 0.50139024]
[0.4448025  0.45340974 0.46452832]
[0.48169062 0.50130651 0.50930968]
[0.45120125 0.46703643 0.46893539]
[0.49466287 0.50225904 0.6233631 ]
[0.46988191 0.49074869 0.5179503 ]
[0.51879566 0.51942882 0.52223652]
[0.43639433 0.50470322 0.53523824]
[0.44782266 0.47002916 0.50433735]
[0.47022773 0.47113864 0.48353136]
[0.43348807 0.4569678  0.58516805]
[0.46871483 0.47209991 0.50410008]
[0.46447103 0.46826809 0.59426443]
[0.48256012 0.48990809 0.60080576]
[0.51309068 0.58513917 0.59345071]
[0.5282873  0.59706125 0.60433164]
[0.54939518 0.59758983 0.60263398]
[0.54815274 0.59632581 0.59761199]
[0.48829013 0.49890458 0.50803611]
[0.51402982 0.52732574 0.59642857]
[0.54183869 0.5918812  0.59229274]
[0.34336702 0.51486778 0.60912661]
[0.45535096 0.51516392 0.58400416]
[0.47933753 0.52812981 0.58523034]
[0.58000125 0.58010747 0.59596006]
[0.58672012 0.5885401  0.58947595]
[0.59332337 0.59558267 0.59927881]
[0.5046753  0.51678359 0.60067895]
[0.49392026 0.58970423 0.59318109]
[0.57669966 0.58836987 0.58913331]
[0.41900411 0.57904448 0.59600104]
[0.58885058 0.59849181 0.59898659]
[0.55133978 0.57235945 0.59967267]
[0.48022887 0.4846269  0.57506101]
[0.53242275 0.53583042 0.59396174]
[0.46946988 0.47639414 0.50215087]
[0.53400381 0.53713501 0.60431744]
[0.50155134 0.50213558 0.57245536]
[0.41950085 0.50330015 0.58882391]
[0.57012658 0.57542125 0.59188647]
[0.49959714 0.56567763 0.5947723 ]
[0.50715792 0.58741702 0.59419387]
[0.58668241 0.58819613 0.58841541]
[0.47780827 0.52664957 0.58507526]
[0.48232292 0.57974705 0.58727133]
[0.53959498 0.58688745 0.58937316]
[0.58828782 0.59479566 0.63886576]
[0.58874324 0.59417328 0.62764562]
[0.58874041 0.59244702 0.5929488 ]
[0.47608695 0.52902803 0.63651281]
[0.51197421 0.52469745 0.59752851]
[0.54680386 0.57992312 0.59975796]
[0.49970775 0.50851091 0.58524737]
[0.59761375 0.59928854 0.60670333]
[0.50940863 0.53792838 0.59910384]
[0.55325475 0.61030764 0.61128194]
[0.56476145 0.57818648 0.60723088]
[0.53227793 0.54352486 0.59692046]
[0.51442803 0.51879432 0.59842176]
[0.56459156 0.59324882 0.61143234]
[0.52558797 0.52576512 0.539629  ]
[0.59493698 0.59591219 0.61209799]
[0.47964554 0.50874392 0.5999857 ]
[0.5256477  0.52591246 0.5986591 ]
[0.57840915 0.59690625 0.59760406]
